Sample,Total Variants,SNVs,Indels,TMB (mut/Mb),HIGH Impact,MODERATE Impact,Genes Affected
S01,42960,32921,9324,15.75,42,278,59
S02,43642,32825,10088,16.0,37,282,55
S03,46461,34641,11059,17.03,39,287,60
S04,263055,205668,56341,96.42,60,829,235
S05,45079,33535,10818,16.52,38,310,60
S06,43948,32687,10571,16.11,37,269,54
S07,45127,32810,11612,16.54,38,275,53
S08,43860,32198,10956,16.08,36,286,52
S09,42600,31799,10114,15.61,38,267,51
S10,40632,31443,8508,14.89,36,260,49
S11,38997,30677,7669,14.29,33,257,55
S12,44227,33028,10458,16.21,37,275,55
S13,44939,33723,10442,16.47,38,273,53
S14,49300,34754,13845,18.07,40,282,64
S15,347161,275115,71103,127.25,65,682,238
S16,53018,35314,16987,19.43,46,317,92
